Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
162,Marquette,2,2,0,1,10.1,-15.9,2,0,0,0,187,135,80,69,129,0.535,22,55,0.4,27,42,0.643,20,78,43,19,7,18,31,2023-2024
163,Marshall,2,1,1,0.5,-2.26,-8.26,1,0,0,0,151,139,80,57,139,0.41,12,45,0.267,25,38,0.658,28,83,27,18,15,18,35,2023-2024
164,Maryland,3,1,2,0.333,3.5,0.5,1,0,0,0,192,183,120,66,163,0.405,14,62,0.226,46,66,0.697,38,110,29,22,14,43,52,2023-2024
165,Maryland-Baltimore County,2,0,2,0,-9.01,-5.51,0,1,0,1,152,159,80,60,138,0.435,14,41,0.341,18,33,0.545,26,74,16,15,5,21,34,2023-2024
166,Maryland-Eastern Shore,2,1,1,0.5,-16,4,1,0,0,1,148,150,84,55,131,0.42,12,41,0.293,26,38,0.684,25,73,27,18,5,20,35,2023-2024
167,Massachusetts,2,2,0,1,18.33,-2.67,2,0,0,0,194,152,80,72,146,0.493,21,50,0.42,29,46,0.63,27,78,43,21,6,12,41,2023-2024
168,Massachusetts-Lowell,2,2,0,1,31.4,-1.6,1,0,1,0,177,99,80,69,129,0.535,11,33,0.333,28,37,0.757,25,91,28,18,15,26,32,2023-2024
169,McNeese State,3,3,0,1,-6.8,-17.8,2,0,1,0,282,166,120,112,206,0.544,28,62,0.452,30,44,0.682,43,120,57,43,4,27,42,2023-2024
170,Memphis,2,2,0,1,4.66,-11.34,1,0,1,0,164,132,80,61,130,0.469,18,48,0.375,24,39,0.615,21,81,37,22,10,26,34,2023-2024
171,Mercer,2,1,1,0.5,-5.17,-10.17,0,1,1,0,130,132,80,43,104,0.413,13,50,0.26,31,47,0.66,18,65,22,15,4,22,47,2023-2024
172,Merrimack,3,2,1,0.667,-5.5,-2.5,1,0,1,1,219,204,120,80,171,0.468,14,66,0.212,45,71,0.634,41,110,33,33,11,38,42,2023-2024
173,Miami (FL),3,3,0,1,7,-14,3,0,0,0,275,212,120,96,176,0.545,35,70,0.5,48,61,0.787,26,114,56,32,23,41,37,2023-2024
174,Miami (OH),2,0,2,0,-29.58,-20.58,0,1,0,1,129,147,80,45,100,0.45,15,38,0.395,24,39,0.615,11,59,25,15,6,34,43,2023-2024
175,Michigan,3,3,0,1,23.69,0.02,2,0,1,0,280,209,120,105,195,0.538,32,78,0.41,38,54,0.704,33,119,53,13,12,33,53,2023-2024
176,Michigan State,2,1,1,0.5,1.98,-8.03,1,1,0,0,150,130,85,51,124,0.411,2,31,0.065,46,65,0.708,23,85,34,16,9,23,35,2023-2024
177,Middle Tennessee,3,2,1,0.667,12.96,6.29,2,1,0,0,205,185,125,69,173,0.399,17,54,0.315,50,75,0.667,37,109,20,22,12,37,51,2023-2024
178,Milwaukee,2,1,1,0.5,2.5,12.5,1,0,0,1,160,152,80,55,134,0.41,14,52,0.269,36,53,0.679,37,92,26,17,7,24,39,2023-2024
179,Minnesota,2,2,0,1,16.4,-6.6,2,0,0,0,182,136,80,54,101,0.535,19,46,0.413,55,69,0.797,16,80,38,16,10,28,35,2023-2024
180,Mississippi,2,2,0,1,11.87,1.37,2,0,0,0,144,123,80,54,129,0.419,10,41,0.244,26,44,0.591,23,81,29,20,11,16,27,2023-2024
181,Mississippi State,2,2,0,1,0.34,-19.16,1,0,0,0,158,119,80,49,121,0.405,23,65,0.354,37,48,0.771,24,89,28,14,12,24,36,2023-2024
182,Mississippi Valley State,2,0,2,0,-51.59,-9.09,0,0,0,2,103,188,80,38,108,0.352,7,23,0.304,20,37,0.541,21,55,11,14,4,33,38,2023-2024
183,Missouri,3,2,1,0.667,-1.94,-10.28,2,1,0,0,224,199,120,77,174,0.443,29,89,0.326,41,50,0.82,25,110,43,23,21,34,62,2023-2024
184,Missouri State,2,1,1,0.5,-4.33,-7.83,1,0,0,1,143,136,80,53,128,0.414,18,53,0.34,19,30,0.633,16,82,32,11,14,17,29,2023-2024
185,Monmouth,2,1,1,0.5,11.66,13.16,0,0,1,1,134,137,80,47,120,0.392,19,48,0.396,21,30,0.7,21,66,22,17,9,24,42,2023-2024
186,Montana,3,2,1,0.667,17.19,17.69,2,0,0,1,246,199,120,91,179,0.508,19,57,0.333,45,57,0.789,25,110,41,17,8,31,50,2023-2024
187,Montana State,2,1,1,0.5,14.1,17.1,1,0,0,1,171,134,80,66,129,0.512,24,60,0.4,15,22,0.682,12,61,32,23,5,19,38,2023-2024
188,Morehead State,3,1,2,0.333,-5.08,25.92,1,0,0,2,226,232,120,85,191,0.445,23,78,0.295,33,49,0.673,40,111,44,22,11,36,55,2023-2024
189,Morgan State,3,2,1,0.667,-20.31,42.69,2,0,0,1,237,234,120,89,183,0.486,23,67,0.343,36,52,0.692,37,126,50,19,16,59,55,2023-2024
190,Mount St. Mary's,2,1,1,0.5,-8.7,-8.2,1,0,0,1,127,128,80,46,112,0.411,10,36,0.278,25,30,0.833,26,78,23,10,6,35,39,2023-2024
191,Murray State,2,2,0,1,10.68,4.68,2,0,0,0,169,130,80,62,123,0.504,16,40,0.4,29,43,0.674,25,86,32,10,6,23,22,2023-2024
192,Navy,2,0,2,0,-3,6,0,1,0,1,116,134,80,43,111,0.387,11,41,0.268,19,25,0.76,20,62,18,12,5,26,41,2023-2024
193,NC State,2,2,0,1,24.78,8.28,2,0,0,0,156,123,80,58,128,0.453,16,50,0.32,24,31,0.774,23,76,31,13,8,17,40,2023-2024
194,Nebraska,3,3,0,1,-6.2,-30.53,3,0,0,0,229,156,120,69,169,0.408,30,90,0.333,61,87,0.701,38,146,47,15,12,38,38,2023-2024
195,Nevada,2,2,0,1,13.56,3.06,1,0,1,0,160,139,80,56,124,0.452,6,29,0.207,42,53,0.792,21,76,25,13,2,13,37,2023-2024
196,Nevada-Las Vegas,2,1,1,0.5,-10.3,-11.3,1,1,0,0,142,140,80,50,119,0.42,19,60,0.317,23,35,0.657,25,76,30,10,10,18,27,2023-2024
197,New Hampshire,2,1,1,0.5,2.5,13.5,1,0,0,1,187,121,80,68,151,0.45,26,70,0.371,25,32,0.781,25,101,41,20,3,22,38,2023-2024
198,New Mexico,2,1,1,0.5,11.49,-0.01,1,0,0,1,150,127,80,53,129,0.411,14,35,0.4,30,42,0.714,27,90,30,17,7,22,38,2023-2024
199,New Mexico State,3,1,2,0.333,-29.01,-0.51,1,0,0,2,204,226,120,72,183,0.393,18,58,0.31,42,64,0.656,31,111,34,16,5,39,50,2023-2024
200,New Orleans,2,2,0,1,NA,NA,2,0,0,0,206,139,80,74,150,0.493,10,38,0.263,48,59,0.814,28,88,42,24,6,26,36,2023-2024
201,Niagara,2,0,2,0,-11.02,-3.02,0,1,0,1,127,143,80,49,113,0.434,15,40,0.375,14,21,0.667,11,45,23,8,3,17,30,2023-2024
202,Nicholls State,2,1,1,0.5,-4.07,-0.07,0,0,1,1,149,157,80,52,113,0.46,22,58,0.379,23,35,0.657,25,75,24,14,5,38,44,2023-2024
203,NJIT,2,0,2,0,-32.42,1.58,0,1,0,1,108,176,80,34,110,0.309,15,50,0.3,25,42,0.595,23,59,18,12,3,33,40,2023-2024
204,Norfolk State,3,3,0,1,-18.23,-25.23,3,0,0,0,267,179,120,91,193,0.472,26,84,0.31,59,82,0.72,45,134,48,42,12,40,54,2023-2024
205,North Alabama,2,2,0,1,0,-16,2,0,0,0,176,127,80,59,123,0.48,19,46,0.413,39,50,0.78,26,87,30,16,5,24,44,2023-2024
206,North Carolina,2,2,0,1,18.38,-0.62,2,0,0,0,176,138,80,63,128,0.492,12,37,0.324,38,51,0.745,27,89,29,13,8,21,19,2023-2024
207,North Carolina A&T,2,0,2,0,-39.81,-7.81,0,0,0,2,130,194,80,44,129,0.341,17,62,0.274,25,38,0.658,18,56,22,14,12,17,31,2023-2024
208,North Carolina Central,3,1,2,0.333,5.59,32.09,1,0,0,2,217,217,120,79,190,0.416,20,68,0.294,39,60,0.65,35,109,44,30,12,34,49,2023-2024
209,North Dakota,2,1,1,0.5,3.86,16.36,1,0,0,1,153,178,80,57,129,0.442,12,49,0.245,27,40,0.675,24,76,22,15,9,27,37,2023-2024
210,North Dakota State,3,2,1,0.667,2.34,14.84,1,0,1,1,233,231,125,89,203,0.438,24,63,0.381,31,49,0.633,45,122,33,22,3,30,33,2023-2024
211,North Florida,3,2,1,0.667,-18,-18.5,1,0,1,1,250,212,120,77,176,0.438,33,90,0.367,63,78,0.808,27,101,43,23,4,39,52,2023-2024
212,North Texas,2,2,0,1,18.56,10.06,2,0,0,0,158,141,85,54,105,0.514,19,42,0.452,31,38,0.816,18,67,23,11,4,22,31,2023-2024
213,Northeastern,2,1,1,0.5,-7.66,-9.66,1,0,0,1,141,137,80,50,115,0.435,14,40,0.35,27,38,0.711,26,78,24,11,7,23,22,2023-2024
214,Northern Arizona,2,0,2,0,-18.06,20.44,0,0,0,2,107,184,80,42,115,0.365,8,33,0.242,15,27,0.556,14,51,21,10,6,27,45,2023-2024
215,Northern Colorado,2,2,0,1,NA,NA,2,0,0,0,168,118,80,53,119,0.445,17,55,0.309,45,60,0.75,23,86,27,16,3,16,29,2023-2024
216,Northern Illinois,3,2,1,0.667,2.79,7.29,2,0,0,1,268,225,120,98,203,0.483,24,71,0.338,48,74,0.649,44,125,43,26,13,40,43,2023-2024
217,Northern Iowa,1,0,1,0,20.07,26.07,0,0,0,1,77,83,45,31,68,0.456,8,23,0.348,7,12,0.583,14,37,11,8,1,13,22,2023-2024
218,Northern Kentucky,2,0,2,0,-1.86,10.64,0,0,0,2,124,149,80,46,114,0.404,6,31,0.194,26,42,0.619,31,74,23,12,9,30,44,2023-2024
219,Northwestern,2,2,0,1,-10.85,-18.85,2,0,0,0,143,127,80,50,112,0.446,10,32,0.313,33,41,0.805,25,63,27,21,10,19,30,2023-2024
220,Northwestern State,3,1,2,0.333,-13.71,7.79,1,1,0,1,242,238,120,86,197,0.437,20,80,0.25,50,68,0.735,40,113,33,32,12,46,56,2023-2024
221,Notre Dame,2,1,1,0.5,-2.12,-0.62,1,1,0,0,131,134,80,49,111,0.441,11,43,0.256,22,30,0.733,14,73,19,5,4,19,31,2023-2024
222,Oakland,2,0,2,0,1.87,10.37,0,0,0,2,126,143,80,45,117,0.385,19,55,0.345,17,24,0.708,19,62,16,12,1,19,45,2023-2024
223,Ohio,2,1,1,0.5,4.11,-2.89,1,0,0,1,166,152,80,55,116,0.474,15,43,0.349,41,56,0.732,20,68,24,15,8,17,46,2023-2024
224,Ohio State,2,1,1,0.5,11.42,11.92,1,1,0,0,145,146,80,50,114,0.439,11,44,0.25,34,47,0.723,25,77,25,6,13,21,38,2023-2024
225,Oklahoma,2,2,0,1,-14.72,-49.22,2,0,0,0,171,102,80,57,113,0.504,18,51,0.353,39,50,0.78,25,85,25,13,11,25,28,2023-2024
226,Oklahoma State,2,1,1,0.5,6.59,1.59,1,1,0,0,144,134,80,53,120,0.442,22,56,0.393,16,32,0.5,19,72,32,15,7,22,32,2023-2024
227,Old Dominion,3,1,2,0.333,6.15,13.15,1,0,0,2,216,216,120,85,185,0.459,19,50,0.38,27,41,0.659,33,122,30,19,8,41,58,2023-2024
228,Omaha,3,1,2,0.333,15.59,32.09,1,0,0,2,209,210,120,76,175,0.434,16,54,0.296,41,63,0.651,24,87,31,17,5,28,45,2023-2024
229,Oral Roberts,3,1,2,0.333,-21.65,-12.15,1,0,0,2,214,228,120,76,183,0.415,24,83,0.289,38,56,0.679,20,103,31,21,15,27,48,2023-2024
230,Oregon,2,2,0,1,32.85,20.35,1,0,0,0,157,132,80,57,136,0.419,13,38,0.342,30,57,0.526,33,108,26,14,7,17,36,2023-2024
231,Oregon State,2,2,0,1,-12.92,-13.92,2,0,0,0,163,126,90,52,117,0.444,11,44,0.25,48,69,0.696,23,84,23,14,9,30,40,2023-2024
232,Pacific,2,1,1,0.5,-8.78,-9.28,0,1,1,0,144,143,80,53,123,0.431,17,50,0.34,21,26,0.808,15,63,35,15,5,35,44,2023-2024
233,Penn State,2,2,0,1,6.35,-15.15,2,0,0,0,153,110,80,56,119,0.471,19,55,0.345,22,33,0.667,18,79,22,22,14,36,29,2023-2024
234,Pennsylvania,4,3,1,0.75,13.96,8.96,3,0,0,1,319,259,160,115,241,0.477,34,92,0.37,55,87,0.632,60,180,67,22,19,59,74,2023-2024
235,Pepperdine,4,3,1,0.75,12.31,-6.69,3,0,0,1,318,249,160,110,238,0.462,27,69,0.391,71,90,0.789,45,156,49,24,9,53,71,2023-2024
236,Pittsburgh,3,3,0,1,3.5,-26.17,3,0,0,0,275,186,120,100,197,0.508,30,84,0.357,45,76,0.592,46,150,49,22,21,29,44,2023-2024
237,Portland,3,3,0,1,13.32,5.32,3,0,0,0,243,210,120,84,176,0.477,21,70,0.3,54,64,0.844,36,133,52,17,13,54,49,2023-2024
238,Portland State,3,3,0,1,8.36,1.86,1,0,2,0,214,184,120,73,176,0.415,20,67,0.299,48,71,0.676,33,104,34,26,12,28,47,2023-2024
239,Prairie View,3,1,2,0.333,6.62,21.12,1,0,0,2,214,220,120,78,206,0.379,10,44,0.227,48,66,0.727,48,120,22,27,6,43,66,2023-2024
240,Presbyterian,3,3,0,1,13.64,7.14,2,0,1,0,239,184,120,86,172,0.5,17,52,0.327,50,68,0.735,21,111,44,23,14,37,59,2023-2024
241,Princeton,2,2,0,1,13.35,6.35,0,0,1,0,142,128,80,50,114,0.439,21,54,0.389,21,28,0.75,23,72,23,12,5,24,21,2023-2024
242,Providence,2,2,0,1,9.48,-5.03,2,0,0,0,157,128,80,55,125,0.44,16,54,0.296,31,45,0.689,28,86,32,21,18,30,29,2023-2024
243,Purdue,3,3,0,1,16.45,-15.21,3,0,0,0,268,173,120,93,174,0.534,31,67,0.463,51,67,0.761,24,126,67,18,22,34,38,2023-2024
244,Purdue Fort Wayne,3,3,0,1,7.87,-7.13,2,0,1,0,298,172,120,114,214,0.533,31,73,0.425,39,53,0.736,26,117,50,38,10,20,46,2023-2024
245,Queens (NC),2,0,2,0,-5.63,13.87,0,0,0,2,141,180,80,50,121,0.413,12,48,0.25,29,45,0.644,25,74,25,15,8,34,31,2023-2024
246,Quinnipiac,3,2,1,0.667,-5.26,3.24,2,0,0,1,271,220,120,93,183,0.508,31,74,0.419,54,70,0.771,32,124,56,17,14,47,44,2023-2024
247,Radford,3,2,1,0.667,14.66,20.66,1,0,0,1,220,195,120,83,182,0.456,21,64,0.328,33,46,0.717,36,128,34,22,13,41,53,2023-2024
248,Rhode Island,2,2,0,1,3.17,-8.83,2,0,0,0,174,150,80,66,122,0.541,14,33,0.424,28,52,0.538,28,85,39,20,5,32,36,2023-2024
249,Rice,2,1,1,0.5,0,13,1,1,0,0,177,146,80,63,131,0.481,22,55,0.4,29,44,0.659,29,78,38,14,4,14,24,2023-2024
250,Richmond,2,2,0,1,30.66,0.66,2,0,0,0,183,123,80,63,122,0.516,23,55,0.418,34,47,0.723,16,70,37,25,4,15,25,2023-2024
251,Rider,3,1,2,0.333,-6.26,15.74,1,0,0,2,228,226,120,89,205,0.434,19,67,0.284,31,48,0.646,38,126,46,29,14,41,49,2023-2024
252,Robert Morris,3,1,2,0.333,-9.04,-0.04,1,0,0,2,191,199,120,65,177,0.367,19,60,0.317,42,54,0.778,37,106,34,18,11,33,46,2023-2024
253,Rutgers,3,2,1,0.667,9.55,0.88,2,0,0,0,196,170,120,67,175,0.383,15,61,0.246,47,71,0.662,46,134,37,19,13,39,46,2023-2024
254,Sacramento State,2,0,2,0,-4.57,11.43,0,0,0,2,136,168,80,49,130,0.377,21,67,0.313,17,24,0.708,30,81,29,4,4,26,34,2023-2024
255,Sacred Heart,2,1,1,0.5,-13.94,-6.94,1,0,0,1,176,139,80,67,140,0.479,19,40,0.475,23,39,0.59,34,91,32,22,10,21,36,2023-2024
256,Saint Francis (PA),3,0,3,0,-16.55,12.12,0,0,0,3,155,241,120,54,145,0.372,14,58,0.241,33,51,0.647,17,67,24,14,5,51,56,2023-2024
257,Saint Joseph's,2,2,0,1,15.9,1.4,2,0,0,0,150,121,80,53,123,0.431,19,59,0.322,25,39,0.641,20,73,38,15,2,19,31,2023-2024
258,Saint Louis,3,3,0,1,-10.5,-21,3,0,0,0,257,200,120,80,173,0.462,24,60,0.4,73,104,0.702,22,118,34,28,9,28,55,2023-2024
259,Saint Mary's (CA),3,2,1,0.667,25.32,20.32,2,1,0,0,236,147,120,86,179,0.48,18,65,0.277,46,66,0.697,46,141,50,19,19,36,44,2023-2024
260,Saint Peter's,2,1,1,0.5,-4.89,-12.89,0,0,1,1,134,118,80,42,108,0.389,13,44,0.295,37,43,0.86,34,78,17,16,2,30,47,2023-2024
261,Sam Houston,3,1,2,0.333,1.03,5.7,0,1,1,1,207,221,125,63,173,0.364,19,66,0.288,62,82,0.756,26,107,32,21,10,39,53,2023-2024
262,Samford,2,0,2,0,-28.07,3.43,0,0,0,2,110,173,80,40,134,0.299,13,57,0.228,17,28,0.607,31,67,26,23,2,31,43,2023-2024
263,San Diego,3,2,1,0.667,13.57,3.57,2,0,0,1,218,194,120,68,167,0.407,23,68,0.338,59,74,0.797,33,106,37,15,9,41,58,2023-2024
264,San Diego State,2,1,1,0.5,12.67,4.17,1,0,0,1,148,131,80,54,120,0.45,14,49,0.286,26,41,0.634,18,74,29,23,8,27,39,2023-2024
265,San Francisco,3,2,1,0.667,8.15,-5.35,2,0,0,1,270,174,120,105,185,0.568,29,77,0.377,31,45,0.689,30,107,64,26,16,42,55,2023-2024
266,San Jose State,3,2,1,0.667,-1.35,1.65,2,0,0,1,231,192,120,85,178,0.478,22,76,0.289,39,53,0.736,29,106,47,18,15,45,49,2023-2024
267,Santa Clara,2,2,0,1,-1.02,-16.52,2,0,0,0,159,128,80,61,121,0.504,14,46,0.304,23,41,0.561,26,92,36,12,10,33,36,2023-2024
268,Seattle,2,2,0,1,12.83,5.83,2,0,0,0,142,128,80,48,107,0.449,8,36,0.222,38,50,0.76,19,77,25,12,13,38,43,2023-2024
269,Seton Hall,2,2,0,1,7.86,-12.64,2,0,0,0,155,114,80,53,110,0.482,11,37,0.297,38,51,0.745,27,88,26,23,7,32,33,2023-2024
270,Siena,3,1,2,0.333,-12.17,7.83,1,0,0,2,179,239,120,67,153,0.438,17,56,0.304,28,50,0.56,32,94,30,12,20,52,46,2023-2024
271,South Alabama,2,1,1,0.5,-13.82,-27.82,0,1,1,0,144,139,80,50,111,0.45,11,42,0.262,33,50,0.66,13,69,19,12,7,26,41,2023-2024
272,South Carolina,3,3,0,1,24.26,10.59,2,0,0,0,235,194,120,85,181,0.47,29,66,0.439,36,52,0.692,39,119,46,19,9,34,47,2023-2024
273,South Carolina State,3,2,1,0.667,7,24,2,0,0,1,204,230,120,75,185,0.405,12,53,0.226,42,72,0.583,51,129,41,32,11,51,51,2023-2024
274,South Carolina Upstate,3,1,2,0.333,-2.59,15.41,1,0,0,2,226,204,120,83,177,0.469,27,65,0.415,33,52,0.635,21,89,48,38,11,33,49,2023-2024
275,South Dakota,2,2,0,1,0,-21,2,0,0,0,185,132,80,66,128,0.516,22,48,0.458,31,41,0.756,26,90,31,11,7,31,31,2023-2024
276,South Dakota State,3,1,2,0.333,-35.87,-21.37,1,1,0,1,226,227,120,89,193,0.461,22,61,0.361,26,42,0.619,35,118,35,26,12,41,39,2023-2024
277,South Florida,1,1,0,1,36,-8,1,0,0,0,96,52,40,34,64,0.531,8,24,0.333,20,26,0.769,10,37,24,12,2,11,20,2023-2024
278,Southeast Missouri State,2,0,2,0,-8.85,19.15,0,0,0,2,123,179,80,45,133,0.338,16,42,0.381,17,32,0.531,26,68,27,20,6,32,39,2023-2024
279,Southeastern Louisiana,2,1,1,0.5,-19.13,-4.13,1,0,0,1,161,157,80,61,121,0.504,9,24,0.375,30,43,0.698,16,73,24,13,2,23,38,2023-2024
280,Southern,3,1,2,0.333,6.08,25.08,0,0,1,2,219,276,120,83,188,0.441,27,71,0.38,26,42,0.619,26,83,44,25,7,40,67,2023-2024
281,Southern California,2,2,0,1,-0.31,-19.81,1,0,0,0,167,128,80,61,115,0.53,13,41,0.317,32,41,0.78,18,72,35,19,10,30,29,2023-2024
282,Southern Illinois,2,2,0,1,4.51,-18.49,2,0,0,0,179,125,80,64,123,0.52,19,47,0.404,32,47,0.681,21,79,38,14,6,17,38,2023-2024
283,SIU Edwardsville,3,1,2,0.333,-29.39,-12.39,1,0,0,2,189,198,120,62,159,0.39,18,46,0.391,47,64,0.734,30,96,36,24,10,38,50,2023-2024
284,Southern Indiana,3,0,3,0,-19.21,-3.87,0,1,0,2,181,227,120,70,182,0.385,16,63,0.254,25,41,0.61,35,117,37,16,9,48,62,2023-2024
285,Southern Methodist,3,3,0,1,15,-9,3,0,0,0,250,183,120,89,208,0.428,17,66,0.258,55,79,0.696,52,141,51,39,19,30,51,2023-2024
286,Southern Mississippi,2,1,1,0.5,-47.01,-29.01,1,0,0,1,118,114,80,48,126,0.381,8,36,0.222,14,30,0.467,27,91,25,12,5,26,31,2023-2024
287,Southern Utah,2,1,1,0.5,-26.89,-25.89,1,0,0,1,180,146,80,63,136,0.463,16,44,0.364,38,54,0.704,39,91,27,17,2,22,31,2023-2024
288,St. Bonaventure,2,1,1,0.5,-7.5,-8,1,1,0,0,140,139,80,50,116,0.431,15,51,0.294,25,36,0.694,21,64,24,12,11,21,31,2023-2024
289,St. Francis (NY),0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-2024
290,St. John's (NY),2,1,1,0.5,4.51,4.51,1,1,0,0,163,163,80,61,141,0.433,20,49,0.408,21,29,0.724,45,89,32,15,12,31,35,2023-2024
291,St. Thomas,3,2,1,0.667,-17.22,-15.22,2,0,0,1,220,178,120,83,172,0.483,25,71,0.352,29,45,0.644,30,105,46,17,7,31,48,2023-2024
292,Stanford,2,2,0,1,15.22,1.72,2,0,0,0,179,152,80,69,139,0.496,17,47,0.362,24,30,0.8,19,74,40,15,13,14,26,2023-2024
293,Stephen F. Austin,3,2,1,0.667,9.84,-0.66,1,0,1,1,254,205,125,98,180,0.544,21,55,0.382,37,49,0.755,28,109,55,35,10,63,67,2023-2024
294,Stetson,3,1,2,0.333,-19.16,4.34,1,0,0,2,212,204,120,83,192,0.432,29,84,0.345,17,26,0.654,42,129,48,11,8,44,39,2023-2024
295,Stonehill,3,1,2,0.333,-11.87,12.14,1,0,0,2,168,240,120,61,171,0.357,22,76,0.289,24,36,0.667,24,102,29,19,5,52,45,2023-2024
296,Stony Brook,3,1,2,0.333,-8.74,10.26,1,0,0,2,228,225,120,84,205,0.41,28,73,0.384,32,50,0.64,45,112,35,25,15,26,36,2023-2024
297,Syracuse,2,2,0,1,7.5,-4,2,0,0,0,172,149,80,63,132,0.477,12,40,0.3,34,46,0.739,27,84,29,20,9,21,28,2023-2024
298,Tarleton State,3,2,1,0.667,4.92,11.42,1,0,1,1,225,197,120,80,171,0.468,15,46,0.326,50,68,0.735,42,118,37,27,11,55,67,2023-2024
299,TCU,2,2,0,1,31.42,3.92,2,0,0,0,190,135,80,78,141,0.553,13,38,0.342,21,27,0.778,30,93,47,19,12,29,37,2023-2024
300,Temple,2,2,0,1,-2,-15.5,1,0,1,0,160,133,80,51,121,0.421,16,51,0.314,42,52,0.808,25,84,24,15,6,20,31,2023-2024
301,Tennessee,2,2,0,1,43.48,19.48,1,0,1,0,160,112,80,57,119,0.479,17,47,0.362,29,33,0.879,14,77,32,10,11,20,39,2023-2024
302,Tennessee State,2,2,0,1,NA,NA,2,0,0,0,159,119,80,62,135,0.459,14,38,0.368,21,31,0.677,19,81,27,14,9,20,29,2023-2024
303,Tennessee Tech,2,0,2,0,7.76,29.76,0,0,0,2,114,158,80,46,114,0.404,8,30,0.267,14,24,0.583,11,59,16,9,3,24,36,2023-2024
304,Tennessee-Martin,3,2,1,0.667,-23.48,0.52,2,0,0,1,257,235,120,93,208,0.447,20,80,0.25,51,64,0.797,35,142,40,31,7,44,33,2023-2024
305,Texas,2,2,0,1,0.36,-29.14,2,0,0,0,174,115,80,60,116,0.517,22,48,0.458,32,44,0.727,19,81,42,21,10,33,35,2023-2024
306,Texas A&M,2,2,0,1,15.76,-3.74,1,0,1,0,151,112,80,55,123,0.447,14,46,0.304,27,40,0.675,32,92,29,9,4,17,29,2023-2024
307,Texas A&M-Commerce,4,0,4,0,-11.93,13.32,0,0,0,4,217,318,160,84,235,0.357,23,113,0.204,26,38,0.684,30,121,39,26,19,55,62,2023-2024
308,Texas A&M-Corpus Christi,3,2,1,0.667,-17.73,14.27,2,0,0,1,265,173,120,105,220,0.477,23,75,0.307,32,61,0.525,52,148,69,37,7,37,63,2023-2024
309,Texas Southern,2,0,2,0,-25.67,-1.67,0,0,0,2,107,155,80,42,136,0.309,10,53,0.189,13,26,0.5,27,86,22,10,10,31,42,2023-2024
310,Texas State,2,1,1,0.5,-15.24,-17.74,0,0,1,1,141,136,80,53,125,0.424,11,38,0.289,24,43,0.558,41,97,28,11,8,39,50,2023-2024
311,Texas Tech,2,2,0,1,9.73,-10.77,2,0,0,0,129,88,80,45,112,0.402,8,39,0.205,31,40,0.775,25,88,21,12,4,29,20,2023-2024
312,Texas-Rio Grande Valley,2,1,1,0.5,0,21,1,0,0,1,189,159,80,73,160,0.456,13,61,0.213,30,47,0.638,38,93,46,34,9,26,40,2023-2024
313,The Citadel,3,0,3,0,11.38,19.38,0,1,0,2,194,218,120,66,167,0.395,18,64,0.281,44,64,0.688,34,110,27,13,9,40,41,2023-2024
314,Toledo,2,2,0,1,11.12,-10.38,2,0,0,0,181,138,80,63,117,0.538,15,29,0.517,40,53,0.755,19,59,35,22,4,18,22,2023-2024
315,Towson,3,2,1,0.667,-0.08,-2.41,1,0,1,1,193,186,120,69,163,0.423,15,40,0.375,40,61,0.656,46,117,23,16,9,39,54,2023-2024
316,Troy,3,1,2,0.333,-10.84,-1.34,1,0,0,2,242,216,130,81,203,0.399,24,86,0.279,56,78,0.718,45,132,39,23,8,53,81,2023-2024
317,Tulane,2,2,0,1,3.04,-10.46,2,0,0,0,179,152,80,62,121,0.512,9,44,0.205,46,55,0.836,15,69,31,25,9,21,26,2023-2024
318,Tulsa,2,2,0,1,-17.06,-32.56,2,0,0,0,155,124,80,48,119,0.403,18,55,0.327,41,55,0.745,31,100,27,12,9,28,36,2023-2024
319,UAB,3,1,2,0.333,8.82,8.82,0,1,0,0,213,213,125,75,188,0.399,13,50,0.26,50,68,0.735,42,121,30,26,12,39,54,2023-2024
320,UC Davis,3,2,1,0.667,13.92,19.92,2,0,0,1,230,207,120,79,160,0.494,17,56,0.304,55,78,0.705,33,100,39,29,12,54,65,2023-2024
321,UC Irvine,2,1,1,0.5,-15.2,-19.7,1,0,0,1,155,146,80,53,112,0.473,12,35,0.343,37,58,0.638,18,72,33,12,6,28,42,2023-2024
322,UC Riverside,3,1,2,0.333,4.98,24.98,1,0,0,2,194,227,120,66,200,0.33,28,97,0.289,34,51,0.667,43,106,42,14,5,19,53,2023-2024
323,UC San Diego,3,3,0,1,28.04,21.04,3,0,0,0,280,207,120,100,183,0.546,22,55,0.4,58,72,0.806,28,112,51,26,16,33,54,2023-2024
324,UC Santa Barbara,2,0,2,0,-1.44,8.06,0,1,0,1,152,171,80,53,106,0.5,13,34,0.382,33,47,0.702,17,74,33,6,8,35,38,2023-2024
